"compet" "K" "fs" "fa" "probamating" "G" "b" "pmut" "mean_dist" "c" "run" "max.X.sex" "max.X.sex.t" "mix" "max.nb.sex" "max.nb.sex.t" "nb.all.end" "nb.sex.end" "X.all.end" "X.sex.end" "end.t" "mean.X.sex" "mean.X.asex" "sd.X.sex" "sd.X.asex" "seed"
"105" "_ded_" "26" "3" "2" "1" "8" "0.3" "0.005" "2.8" "1.2" "466" 26 19 0.126009421265141 5404 9 19614 920 48 25 20 13.8847826086957 21.7806247994009 7.71272756150506 13.194152695245 24
"106" "_ded_" "26" "4" "2" "1" "2" "0.9" "0.005" "2.8" "0.5" "450" 65 24 0.603586805437841 29455 24 103829 4881 191 32 76 14.8311821348084 104.248494158548 10.1534627671424 55.7684547898187 24
"107" "_ded_" "26" "4" "3" "1" "14" "0.3" "0.005" "2.3" "1" "352" 27 12 0.213849422387465 8822 9 36349 1536 59 20 16 8.99674479166667 27.4502915577514 6.60574144329068 15.5342960001948 24
"108" "_ded_" "26" "7" "2" "1" "4" "0.5" "5e-04" "0.5" "1" "13" 190 1000 0.999493566931289 156158 332 153120 153038 199 190 1000 99.6033599498164 101.756097560976 57.7929600605488 54.7426213474507 24
"109" "_ded_" "27" "3" "2" "1" "16" "0.8" "5e-04" "0.9" "0.8" "91" 20 25 0.295718552937272 6623 17 17667 594 40 18 36 11.4158249158249 18.2044749018919 5.78745098876625 11.3656663977025 24
"110" "_ded_" "27" "3" "2" "1" "20" "0.4" "5e-04" "1.2" "1" "150" 19 23 0.319437274135261 5536 16 16335 586 41 17 32 10.0853242320819 18.5889262810337 4.81800997831097 11.497464433021 24
"111" "_ded_" "27" "3" "2" "1" "8" "0.7" "5e-05" "2.9" "1" "479" 56 36 0.305596810755882 18286 29 51742 1699 116 49 45 27.9376103590347 53.3201246927642 14.5483108660961 30.8154288611644 24
"112" "_ded_" "27" "4" "2" "1" "19" "0.8" "0.005" "1.6" "0.5" "226" 42 37 0.565373413771583 19119 24 101779 4733 199 26 101 12.3469258398479 102.501957834429 7.8589147975005 55.7078540893847 24
"113" "_ded_" "27" "5" "4" "1" "12" "0.2" "5e-04" "1.8" "0.8" "268" 35 23 0.0524635182169429 14389 13 56174 1715 68 35 23 25.798833819242 31.774858150168 6.32628924636925 19.6655519431542 24
"114" "_ded_" "27" "6" "5" "1" "6" "0.4" "5e-04" "2" "1.2" "306" 55 23 0.0416738741855504 21343 12 78998 2981 65 55 23 45.6283126467628 30.028230527382 5.52894064918581 18.737077711259 24
"115" "_ded_" "27" "8" "6" "1" "19" "0.3" "0.005" "2.5" "5" "407" 44 15 0.101000878568106 25724 8 84683 3239 64 40 17 19.6088298857672 30.7786822847601 13.3206220126761 17.9264143657785 24
"116" "_ded_" "27" "9" "2" "1" "9" "0.3" "0.005" "2.9" "1" "480" 190 996 0.995420536635707 197237 812 194461 193596 199 189 1000 99.1694973036633 100.317919075145 57.6150737492873 55.8191687282836 24
"117" "_ded_" "27" "9" "5" "1" "20" "0.6" "5e-04" "0.9" "0.5" "89" 47 55 0.196075420185991 45152 23 227084 10231 191 46 56 21.9050923663376 96.5213854546628 16.4133878451703 54.4638877824228 24
"118" "_ded_" "28" "3" "2" "1" "15" "0.9" "0.005" "2.4" "5" "376" 30 18 0.205266519980126 8751 13 27031 1053 54 22 24 8.78442545109212 26.0784894911079 7.16283079763506 14.6943411454189 24
"119" "_ded_" "28" "4" "2" "1" "17" "0.2" "5e-05" "1.3" "5" "176" 199 337 0.0501238118060548 37583 239 99908 4723 199 198 338 184.64217658268 94.4280611440878 10.4565950892634 55.3600938820386 24
